merchant_id,merchant_age_days,kyc_verified,kyc_pending,kyc_limited,transaction_count,total_transaction_volume,average_transaction_amount,median_transaction_amount,transaction_amount_std,unique_customer_count,unique_device_count,unique_ip_count,active_days_count,success_rate,failure_rate,refund_rate,refund_count,refund_volume,refund_amount_ratio,unique_settlement_account_count,settlement_count,total_settlement_volume,pm_share_upi,pm_share_card,pm_share_netbanking,pm_share_wallet,avg_tx_per_customer,avg_tx_per_device,avg_tx_per_ip,transaction_velocity,average_daily_volume,volume_growth,shared_device_count,shared_ip_count,shared_customer_count,shared_settlement_count,connected_merchant_count,merchant_degree,weighted_network_degree,network_size,network_density,clustering_coefficient,pagerank_score,betweenness_centrality,transaction_time_concentration,night_tx_share,business_hours_tx_share,evening_tx_share,weekend_tx_share,active_days_ratio,transaction_burst_score,volume_spike_score,daily_volume_cv,coordinated_activity_score,avg_ip_rarity,avg_device_rarity,avg_customer_rarity,avg_ip_frequency,avg_device_frequency,shared_ip_volume_ratio,shared_device_volume_ratio,shared_customer_volume_ratio,volume_burstiness,transaction_count_zscore_vs_peers,total_transaction_volume_zscore_vs_peers,average_transaction_amount_zscore_vs_peers,refund_rate_zscore_vs_peers,failure_rate_zscore_vs_peers,unique_customer_count_zscore_vs_peers,ip_sharing_concentration,device_sharing_concentration,customer_sharing_concentration
M0007,385.0,1.0,0.0,0.0,12.0,63512.85,5292.7375,4186.1,3360.0099075371377,12.0,9.0,7.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,61777.42,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.0,1.0,1.3333333333333333,1.7142857142857142,1.0,5292.7375,-0.5962217936346345,7.0,5.0,8.0,0.0,30,30,49,155,0.44301,0.4045977011494253,0.009966336276139963,0.005406190367291335,0.08695652173913047,0.0,0.8333333333333334,0.25,0.4166666666666667,0.13333333333333333,1.0,2.51228782836859,0.6348340357966247,0.256,0.46249999999999997,0.45138888888888884,0.5833333333333334,3.1666666666666665,3.5,0.7893982083940494,0.6973823407389214,0.662232445875126,0.31876503468720213,-0.0842416874013842,0.44313475952511616,1.0291848217032529,-0.3691980486687584,-0.5402626287327985,0.027656522268837934,0.7142857142857143,0.7777777777777778,0.6666666666666666
M0009,224.0,1.0,0.0,0.0,2.0,1234.27,617.135,617.135,66.19226578687268,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1202.04,0.5,0.5,0.0,0.0,1.0,2.0,2.0,1.0,617.135,-0.1409916558725186,0.0,0.0,1.0,0.0,1,1,1,155,0.0,0.0,0.0011976743987682417,0.0,0.47826086956521735,0.0,0.5,0.5,0.0,0.022222222222222223,1.0,1.0758424007713063,0.10725735177371674,0.3959,1.0,1.0,0.75,1.0,1.0,0.0,0.0,0.462078799614347,0.03792120038549945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
M0017,268.0,1.0,0.0,0.0,1.0,514.31,514.31,514.31,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,490.43,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,514.31,1.0,1.0,0.0,1.0,0.0,3,3,3,155,0.83333,0.6666666666666666,0.001557902744320599,2.4827641958096424e-05,1.0,0.0,0.0,1.0,0.0,0.011111111111111112,1.0,1.0,0.0,0.086,1.0,0.3333333333333333,0.5,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
M0019,170.0,1.0,0.0,0.0,1.0,584.72,584.72,584.72,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,566.61,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,584.72,1.0,1.0,1.0,1.0,0.0,3,3,3,155,1.0,1.0,0.0014904746628363087,0.0,1.0,0.0,1.0,0.0,0.0,0.011111111111111112,1.0,1.0,0.0,0.2922,0.5,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.0,-0.4358194613800608,-0.5383352387478126,-0.7616777833034523,-0.3691980486687584,-0.5402626287327985,-0.5896049892385605,1.0,1.0,1.0
M0020,753.0,1.0,0.0,0.0,10.0,117430.70999999999,11743.071,6847.76,12123.843042796518,10.0,5.0,8.0,10.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,7.0,108684.95999999999,0.2,0.5,0.2,0.1,1.0,2.0,1.25,1.0,11743.071,0.24515906634985193,4.0,5.0,7.0,1.0,25,25,32,155,0.40615,0.3566666666666667,0.007413176626589411,0.009524695139690476,0.24869565217391307,0.0,0.1,0.9,0.4,0.1111111111111111,1.0,3.7443322960407888,1.0324252525422453,0.2868,0.6950000000000001,0.4666666666666666,0.6333333333333333,2.0,2.4,0.30973184101501217,0.8530110224148352,0.5382601365520144,0.4331797278582372,-0.14816491903387086,1.2840744467695968,3.4827995448796254,-0.3691980486687584,0.3566827038330751,-0.08457284345977997,0.625,0.8,0.7
M0021,145.0,1.0,0.0,0.0,9.0,53098.850000000006,5899.872222222223,2708.9,5598.818222993085,7.0,4.0,4.0,8.0,0.8888888888888888,0.0,0.1111111111111111,1.0,1731.55,0.032609934113450666,1.0,7.0,51543.79,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.2857142857142858,2.25,2.25,1.125,6637.356250000001,10.0,3.0,4.0,4.0,0.0,17,17,20,155,0.57516,0.5220588235294118,0.004545530515691343,0.0008657374298382288,0.12399355877616747,0.0,0.4444444444444444,0.7777777777777778,0.0,0.08888888888888889,1.7777777777777777,2.4865653399273246,0.9403247933748328,0.3523,0.4166666666666667,0.5185185185185186,0.6481481481481481,2.6666666666666665,2.3333333333333335,1.0,0.7491516294609016,0.6165852932784797,0.44867560691049685,-0.18012653485011418,0.2807109188355188,1.2601301973797268,0.5836147628296642,-0.5402626287327985,-0.25291689205270684,1.0,0.75,0.5714285714285714
M0022,249.0,0.0,1.0,0.0,10.0,5284.62,528.462,561.85,277.317412034978,9.0,5.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,5153.4,0.7,0.2,0.1,0.0,1.1111111111111112,2.0,1.6666666666666667,1.25,660.5775,0.5318940983700806,3.0,6.0,7.0,1.0,27,27,33,155,0.3545,0.30484330484330485,0.00782353273786611,0.011547683223906141,0.08173913043478263,0.3,0.5,0.1,0.5,0.08888888888888889,1.6,2.1715090205161394,0.6133351251868264,0.2883,0.38166666666666665,0.6666666666666667,0.55,3.0,2.1,1.0,0.38583663536829516,0.786957245743308,0.3075703645672944,-0.14816491903387086,-0.46503239556968334,-0.7830775228822595,-0.3691980486687584,-0.5402626287327985,-0.14068752632408893,1.0,0.6,0.7777777777777778
M0028,432.0,0.0,1.0,0.0,4.0,9203.2,2300.8,2241.4449999999997,336.3559288412599,4.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8901.3,0.25,0.5,0.0,0.25,1.0,1.3333333333333333,1.0,1.0,2300.8,2.263899184581171,1.0,4.0,3.0,0.0,16,16,18,155,0.50735,0.44166666666666665,0.004486992208205399,0.0015362050945773415,0.21739130434782608,0.0,1.0,0.0,0.25,0.044444444444444446,1.0,1.1973313630041724,0.14619085919734864,0.323,0.3333333333333333,0.8333333333333333,0.5208333333333333,3.5,1.5,1.0,0.2345271210013908,0.7654728789986092,0.06883692628649034,-0.3399346139313308,-0.40391555154726705,-0.10890546476387444,-0.3691980486687584,-0.5402626287327985,-0.4212609406456337,1.0,0.3333333333333333,0.75
M0029,582.0,0.0,1.0,0.0,1.0,294.28,294.28,294.28,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,280.73,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,294.28,1.0,0.0,1.0,1.0,0.0,4,4,4,155,1.0,1.0,0.0017418222747808854,0.0,1.0,0.0,0.0,0.0,0.0,0.011111111111111112,1.0,1.0,0.0,0.0745,0.25,1.0,0.5,4.0,1.0,1.0,0.0,1.0,0.0,-0.4358194613800608,-0.5428651389100834,-0.872157010493697,-0.3691980486687584,-0.5402626287327985,-0.5896049892385605,1.0,0.0,1.0
M0030,157.0,1.0,0.0,0.0,6.0,22144.809999999998,3690.8016666666663,3414.46,2460.871483149144,6.0,5.0,5.0,4.0,0.8333333333333334,0.0,0.16666666666666666,1.0,479.35,0.02164615546486965,1.0,4.0,21544.58,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,1.2,1.2,1.5,5536.202499999999,-0.5541284247928132,4.0,4.0,4.0,0.0,22,22,25,155,0.36364,0.30303030303030304,0.005854110028566506,0.003233533603660875,0.13043478260869568,0.0,0.6666666666666666,0.16666666666666666,0.0,0.044444444444444446,1.3333333333333333,1.3816727260247434,0.5589946732118312,0.5604,0.3682539682539683,0.5833333333333334,0.5972222222222222,4.0,1.8333333333333333,0.6545818184938142,0.9577603059136658,0.6123421244074798,0.2284861554467809,-0.27601138229884414,-0.2020693828410157,0.419831313663633,1.0600211685788754,-0.5402626287327985,-0.30903157491701577,0.8,0.8,0.6666666666666666
