timestamp,merchant_id,event_type,related_entity
2026-01-01 00:00:00,M03486,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M04978,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M03831,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M03311,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M02026,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M04317,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M04688,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M03226,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M04660,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M03184,MERCHANT_ONBOARDED,
2026-01-01 00:00:00,M01590,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M00160,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M03161,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M03227,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M02885,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M02892,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M02946,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M04431,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M04413,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M03095,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M02157,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M00532,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M03919,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M00389,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M01916,MERCHANT_ONBOARDED,
2026-01-02 00:00:00,M04297,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M02495,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M01834,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M00561,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M03354,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M00956,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M00741,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M04049,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M02073,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M02355,MERCHANT_ONBOARDED,
2026-01-03 00:00:00,M01103,MERCHANT_ONBOARDED,
