merchant_id,network_id,is_mule,mule_type
M00001,,0,
M00002,,0,
M00003,,0,
M00004,,0,
M00005,,0,
M00006,,0,
M00007,,0,
M00008,,0,
M00009,,0,
M00010,,0,
M00011,,0,
M00012,,0,
M00013,,0,
M00014,,0,
M00015,,0,
M00016,,0,
M00017,,0,
M00018,,0,
M00019,,0,
M00020,,0,
M00021,,0,
M00022,,0,
M00023,,0,
M00024,,0,
M00025,,0,
M00026,,0,
M00027,,0,
M00028,,0,
M00029,,0,
M00030,,0,
M00031,,0,
M00032,,0,
M00033,,0,
M00034,,0,
M00035,,0,
M00036,N027,1,TYPE_C_INFRASTRUCTURE_CONVERGENCE
M00037,,0,
M00038,,0,
M00039,,0,
M00040,,0,
M00041,,0,
M00042,,0,
M00043,,0,
M00044,,0,
M00045,,0,
M00046,,0,
M00047,,0,
M00048,,0,
M00049,,0,
M00050,,0,
M00051,,0,
M00052,,0,
M00053,,0,
M00054,,0,
M00055,,0,
M00056,,0,
M00057,,0,
M00058,,0,
M00059,,0,
M00060,,0,
M00061,,0,
M00062,,0,
M00063,,0,
M00064,,0,
M00065,,0,
M00066,,0,
M00067,,0,
M00068,,0,
M00069,,0,
M00070,,0,
M00071,,0,
M00072,,0,
M00073,,0,
M00074,,0,
M00075,,0,
M00076,,0,
M00077,,0,
M00078,,0,
M00079,,0,
M00080,,0,
M00081,,0,
M00082,,0,
M00083,,0,
M00084,,0,
M00085,,0,
M00086,,0,
M00087,,0,
M00088,,0,
M00089,,0,
M00090,,0,
M00091,,0,
M00092,,0,
M00093,,0,
M00094,,0,
M00095,,0,
M00096,,0,
M00097,N035,1,TYPE_C_INFRASTRUCTURE_CONVERGENCE
M00098,,0,
M00099,,0,
M00100,,0,
M00101,,0,
M00102,,0,
M00103,,0,
M00104,,0,
M00105,,0,
M00106,,0,
M00107,,0,
M00108,,0,
M00109,N047,1,TYPE_C_INFRASTRUCTURE_CONVERGENCE
M00110,,0,
M00111,N028,1,TYPE_D_BEHAVIORAL_TRANSITION
M00112,,0,
M00113,,0,
M00114,N023,1,TYPE_C_INFRASTRUCTURE_CONVERGENCE
M00115,,0,
M00116,,0,
M00117,,0,
M00118,,0,
M00119,,0,
M00120,,0,
M00121,,0,
M00122,,0,
M00123,,0,
M00124,,0,
M00125,,0,
M00126,,0,
M00127,,0,
M00128,,0,
M00129,,0,
M00130,,0,
M00131,,0,
M00132,,0,
M00133,,0,
M00134,,0,
M00135,,0,
M00136,,0,
M00137,,0,
M00138,,0,
M00139,,0,
M00140,,0,
M00141,,0,
M00142,,0,
M00143,,0,
M00144,,0,
